geo_type,region,transportation_type,alternative_name,sub-region,country,date,relative_mobility
city,Salt Lake City,driving,NA,Utah,United States,2020-04-03,73.23
city,Salt Lake City,driving,NA,Utah,United States,2020-04-04,60.38
city,Salt Lake City,driving,NA,Utah,United States,2020-04-05,39.23
city,Salt Lake City,driving,NA,Utah,United States,2020-04-06,62.64
city,Salt Lake City,driving,NA,Utah,United States,2020-04-07,65.68
city,Salt Lake City,driving,NA,Utah,United States,2020-04-08,71.25
city,Salt Lake City,driving,NA,Utah,United States,2020-04-09,68.76
city,Salt Lake City,driving,NA,Utah,United States,2020-04-10,81.12
city,Salt Lake City,driving,NA,Utah,United States,2020-04-11,69.85
city,Salt Lake City,driving,NA,Utah,United States,2020-04-12,37.84
city,Salt Lake City,driving,NA,Utah,United States,2020-04-13,66.13
city,Salt Lake City,driving,NA,Utah,United States,2020-04-14,71.35
city,Salt Lake City,driving,NA,Utah,United States,2020-04-15,70.05
city,Salt Lake City,driving,NA,Utah,United States,2020-04-16,72.41
city,Salt Lake City,driving,NA,Utah,United States,2020-04-17,87.4
city,Salt Lake City,driving,NA,Utah,United States,2020-04-18,82.05
city,Salt Lake City,driving,NA,Utah,United States,2020-04-19,49.53
city,Salt Lake City,driving,NA,Utah,United States,2020-04-20,80
city,Salt Lake City,driving,NA,Utah,United States,2020-04-21,80.73
city,Salt Lake City,driving,NA,Utah,United States,2020-04-22,80.56
city,Salt Lake City,driving,NA,Utah,United States,2020-04-23,80.41
city,Salt Lake City,driving,NA,Utah,United States,2020-04-24,94.82
city,Salt Lake City,driving,NA,Utah,United States,2020-04-25,88.45
city,Salt Lake City,driving,NA,Utah,United States,2020-04-26,57.46
city,Salt Lake City,driving,NA,Utah,United States,2020-04-27,82.56
city,Salt Lake City,driving,NA,Utah,United States,2020-04-28,87.02
city,Salt Lake City,driving,NA,Utah,United States,2020-04-29,89.21
city,Salt Lake City,driving,NA,Utah,United States,2020-04-30,92.12
city,Salt Lake City,driving,NA,Utah,United States,2020-05-01,104.85
city,Salt Lake City,driving,NA,Utah,United States,2020-05-02,98.06
city,Salt Lake City,driving,NA,Utah,United States,2020-05-03,62.19
city,Salt Lake City,driving,NA,Utah,United States,2020-05-04,95.96
city,Salt Lake City,driving,NA,Utah,United States,2020-05-05,100.01
city,Salt Lake City,driving,NA,Utah,United States,2020-05-06,101.07
city,Salt Lake City,driving,NA,Utah,United States,2020-05-07,103.15
city,Salt Lake City,driving,NA,Utah,United States,2020-05-08,118.91
city,Salt Lake City,driving,NA,Utah,United States,2020-05-09,111.34
city,Salt Lake City,driving,NA,Utah,United States,2020-05-10,63.2
city,Salt Lake City,driving,NA,Utah,United States,2020-05-11,NA
city,Salt Lake City,driving,NA,Utah,United States,2020-05-12,NA
city,Salt Lake City,driving,NA,Utah,United States,2020-05-13,109.63
city,Salt Lake City,driving,NA,Utah,United States,2020-05-14,113
city,Salt Lake City,driving,NA,Utah,United States,2020-05-15,128.99
city,Salt Lake City,driving,NA,Utah,United States,2020-05-16,120.77
city,Salt Lake City,driving,NA,Utah,United States,2020-05-17,77.64
city,Salt Lake City,driving,NA,Utah,United States,2020-05-18,114.2
city,Salt Lake City,driving,NA,Utah,United States,2020-05-19,116.94
city,Salt Lake City,driving,NA,Utah,United States,2020-05-20,117.04
city,Salt Lake City,driving,NA,Utah,United States,2020-05-21,127.66
city,Salt Lake City,driving,NA,Utah,United States,2020-05-22,136.26
city,Salt Lake City,driving,NA,Utah,United States,2020-05-23,120.27
city,Salt Lake City,driving,NA,Utah,United States,2020-05-24,81.46
city,Salt Lake City,driving,NA,Utah,United States,2020-05-25,103.87
city,Salt Lake City,driving,NA,Utah,United States,2020-05-26,123.28
city,Salt Lake City,driving,NA,Utah,United States,2020-05-27,129.26
city,Salt Lake City,driving,NA,Utah,United States,2020-05-28,134.39
city,Salt Lake City,driving,NA,Utah,United States,2020-05-29,146.36
city,Salt Lake City,driving,NA,Utah,United States,2020-05-30,131.55
city,Salt Lake City,driving,NA,Utah,United States,2020-05-31,79.46
city,Salt Lake City,driving,NA,Utah,United States,2020-06-01,124.29
city,Salt Lake City,driving,NA,Utah,United States,2020-06-02,126.04
city,Salt Lake City,driving,NA,Utah,United States,2020-06-03,132.01
city,Salt Lake City,driving,NA,Utah,United States,2020-06-04,136.73
city,Salt Lake City,driving,NA,Utah,United States,2020-06-05,150.61
city,Salt Lake City,driving,NA,Utah,United States,2020-06-06,135.13
city,Salt Lake City,driving,NA,Utah,United States,2020-06-07,80.89
city,Salt Lake City,driving,NA,Utah,United States,2020-06-08,125.83
city,Salt Lake City,driving,NA,Utah,United States,2020-06-09,135.9
city,Salt Lake City,driving,NA,Utah,United States,2020-06-10,138.25
city,Salt Lake City,driving,NA,Utah,United States,2020-06-11,143.16
city,Salt Lake City,driving,NA,Utah,United States,2020-06-12,155.72
city,Salt Lake City,driving,NA,Utah,United States,2020-06-13,143.23
city,Salt Lake City,driving,NA,Utah,United States,2020-06-14,97.79
city,Salt Lake City,driving,NA,Utah,United States,2020-06-15,134.42
city,Salt Lake City,driving,NA,Utah,United States,2020-06-16,137
