geo_type,region,transportation_type,alternative_name,sub-region,country,date,relative_mobility
county,Belknap County,driving,NA,New Hampshire,United States,2020-04-01,67.95
county,Belknap County,driving,NA,New Hampshire,United States,2020-04-02,57.57
county,Belknap County,driving,NA,New Hampshire,United States,2020-04-03,65.55
county,Belknap County,driving,NA,New Hampshire,United States,2020-04-04,76.9
county,Belknap County,driving,NA,New Hampshire,United States,2020-04-05,65.28
county,Belknap County,driving,NA,New Hampshire,United States,2020-04-06,71.33
county,Belknap County,driving,NA,New Hampshire,United States,2020-04-07,70.16
county,Belknap County,driving,NA,New Hampshire,United States,2020-04-08,65.67
county,Belknap County,driving,NA,New Hampshire,United States,2020-04-09,58.51
county,Belknap County,driving,NA,New Hampshire,United States,2020-04-10,83.22
county,Belknap County,driving,NA,New Hampshire,United States,2020-04-11,83.25
county,Belknap County,driving,NA,New Hampshire,United States,2020-04-12,60.03
county,Belknap County,driving,NA,New Hampshire,United States,2020-04-13,59.15
county,Belknap County,driving,NA,New Hampshire,United States,2020-04-14,77.38
county,Belknap County,driving,NA,New Hampshire,United States,2020-04-15,77.79
county,Belknap County,driving,NA,New Hampshire,United States,2020-04-16,82.38
county,Belknap County,driving,NA,New Hampshire,United States,2020-04-17,90.71
county,Belknap County,driving,NA,New Hampshire,United States,2020-04-18,83.97
county,Belknap County,driving,NA,New Hampshire,United States,2020-04-19,99.38
county,Belknap County,driving,NA,New Hampshire,United States,2020-04-20,81.21
county,Belknap County,driving,NA,New Hampshire,United States,2020-04-21,73.93
county,Belknap County,driving,NA,New Hampshire,United States,2020-04-22,83.97
county,Belknap County,driving,NA,New Hampshire,United States,2020-04-23,96.06
county,Belknap County,driving,NA,New Hampshire,United States,2020-04-24,96.24
county,Belknap County,driving,NA,New Hampshire,United States,2020-04-25,132.74
county,Belknap County,driving,NA,New Hampshire,United States,2020-04-26,74.84
county,Belknap County,driving,NA,New Hampshire,United States,2020-04-27,73.73
county,Belknap County,driving,NA,New Hampshire,United States,2020-04-28,94.25
county,Belknap County,driving,NA,New Hampshire,United States,2020-04-29,104.79
county,Belknap County,driving,NA,New Hampshire,United States,2020-04-30,85.77
county,Belknap County,driving,NA,New Hampshire,United States,2020-05-01,103.72
county,Belknap County,driving,NA,New Hampshire,United States,2020-05-02,134.08
county,Belknap County,driving,NA,New Hampshire,United States,2020-05-03,134.17
county,Belknap County,driving,NA,New Hampshire,United States,2020-05-04,97.72
county,Belknap County,driving,NA,New Hampshire,United States,2020-05-05,104.58
county,Belknap County,driving,NA,New Hampshire,United States,2020-05-06,107.66
county,Belknap County,driving,NA,New Hampshire,United States,2020-05-07,113.65
county,Belknap County,driving,NA,New Hampshire,United States,2020-05-08,123.07
county,Belknap County,driving,NA,New Hampshire,United States,2020-05-09,101.94
county,Belknap County,driving,NA,New Hampshire,United States,2020-05-10,98.41
county,Belknap County,driving,NA,New Hampshire,United States,2020-05-11,NA
county,Belknap County,driving,NA,New Hampshire,United States,2020-05-12,NA
county,Belknap County,driving,NA,New Hampshire,United States,2020-05-13,132.22
county,Belknap County,driving,NA,New Hampshire,United States,2020-05-14,136.6
county,Belknap County,driving,NA,New Hampshire,United States,2020-05-15,140.52
county,Belknap County,driving,NA,New Hampshire,United States,2020-05-16,188.05
county,Belknap County,driving,NA,New Hampshire,United States,2020-05-17,146.92
county,Belknap County,driving,NA,New Hampshire,United States,2020-05-18,129.54
county,Belknap County,driving,NA,New Hampshire,United States,2020-05-19,134.99
county,Belknap County,driving,NA,New Hampshire,United States,2020-05-20,146.02
county,Belknap County,driving,NA,New Hampshire,United States,2020-05-21,172.56
county,Belknap County,driving,NA,New Hampshire,United States,2020-05-22,241.26
county,Belknap County,driving,NA,New Hampshire,United States,2020-05-23,232.76
county,Belknap County,driving,NA,New Hampshire,United States,2020-05-24,220.84
county,Belknap County,driving,NA,New Hampshire,United States,2020-05-25,188.32
county,Belknap County,driving,NA,New Hampshire,United States,2020-05-26,157.33
county,Belknap County,driving,NA,New Hampshire,United States,2020-05-27,168.05
county,Belknap County,driving,NA,New Hampshire,United States,2020-05-28,165.43
county,Belknap County,driving,NA,New Hampshire,United States,2020-05-29,183.1
county,Belknap County,driving,NA,New Hampshire,United States,2020-05-30,207.23
county,Belknap County,driving,NA,New Hampshire,United States,2020-05-31,189.05
county,Belknap County,driving,NA,New Hampshire,United States,2020-06-01,143.6
county,Belknap County,driving,NA,New Hampshire,United States,2020-06-02,151.97
county,Belknap County,driving,NA,New Hampshire,United States,2020-06-03,152.98
county,Belknap County,driving,NA,New Hampshire,United States,2020-06-04,174.37
county,Belknap County,driving,NA,New Hampshire,United States,2020-06-05,220.59
county,Belknap County,driving,NA,New Hampshire,United States,2020-06-06,243.55
county,Belknap County,driving,NA,New Hampshire,United States,2020-06-07,214.18
